generic,original_generic,category
Royal penguins feed on krill.,royal penguins feed on krill.,maj
Owls eat animals.,owls eat animals.,maj
Birds use feathers.,birds use feathers.,maj
Birds lose pin feathers.,birds lose pin feathers.,maj
Owls occur in habitats.,owls occur in habitats.,maj
Swans feed on water.,swans feed on water.,maj
Lemurs live in habitats.,lemurs live in habitats.,maj
Birds live on beaches.,birds live on beaches.,maj
Eagles lay eggs.,eagles lay eggs.,maj
Parrots have lifespans.,parrots have lifespans.,maj
Parrots are tropical.,"parrots are tropical, with only a few species reaching northern and southern temperate areas.",maj
Hummingbirds drink water.,hummingbirds drink water.,maj
Downy woodpeckers have white feathers.,downy woodpeckers have white feathers.,maj
Birds migrate to habitats.,birds migrate to habitats.,maj
Parrots drink water.,parrots drink water.,maj
Birds sit on leaves.,birds sit on leaves.,maj
Birds have coloration.,birds have coloration.,maj
Eagles kill large prey.,eagles kill large prey.,maj
Penguins keep eggs.,penguins keep eggs.,maj
Birds have bluish wings.,birds have bluish wings.,maj
Birds have air sacs.,birds have air sacs.,maj
House sparrows feed on seeds.,house sparrows feed on seeds.,maj
Warblers feed primarily on insects but do eat some seeds and fruits.,warblers feed primarily on insects but do eat some seeds and fruits.,maj
Pigeons possess feathers.,pigeons possess feathers.,maj
Eagles fly over forests.,eagles fly over forests.,maj
Hawks build bulky nests of twigs.,"hawks build bulky nests of twigs, bark, and leaves high in trees.",maj
Cockatoos eat seeds.,cockatoos eat seeds.,maj
Birds have orange feathers.,birds have orange feathers.,maj
Birds have skulls.,birds have skulls.,maj
Pigeons eat crops.,pigeons eat crops.,maj
Woodpeckers have bones.,woodpeckers have bones.,maj
Hummingbirds use tail feathers.,hummingbirds use tail feathers.,maj
Lemurs live on madagascar.,lemurs live on madagascar.,maj
Cockatiels feed on seeds.,cockatiels feed on seeds.,maj
Owls prefer food.,owls prefer food.,maj
Aquatic birds have chambers.,aquatic birds have chambers.,maj
Shorebirds inhabit sandy beaches.,shorebirds inhabit sandy beaches.,maj
Macaws feed on palm nuts.,macaws feed on palm nuts.,maj
Birds have brownish heads.,birds have brownish heads.,maj
Birds have wide ranges.,birds have wide ranges.,maj
Birds have very little sense of smell and only care how their babies look and sound.,birds have very little sense of smell and only care how their babies look and sound.,maj
Songbirds adapt to cold winter temperature.,songbirds adapt to cold winter temperature.,maj
Young birds lose feathers.,young birds lose feathers.,maj
American kestrels feed on diets.,american kestrels feed on diets.,maj
Hawks have wings.,hawks have wings.,maj
Storks possess ribs.,storks possess ribs.,maj
Infect birds have eyes.,infect birds have eyes.,maj
Hawks eat prey.,hawks eat prey.,maj
Birds thrive in environments.,birds thrive in environments.,maj
Immature birds have feathers.,immature birds have feathers.,maj
Hawks eat rabbits.,hawks eat rabbits.,maj
Chickens possess genomes.,chickens possess genomes.,maj
Flightless birds have flat sterna.,flightless birds have flat sterna.,maj
Macaws have bones.,macaws have bones.,maj
Birds feed on fly insects.,birds feed on fly insects.,maj
Hawks possess nests.,hawks possess nests.,maj
Birds start their migration along the coast.,birds start their migration along the coast.,maj
Male birds have no phallus .,male birds have no phallus .,maj
Owls has-part retinas.,owls has-part retinas.,maj
Lorikeets are cavity nesters.,lorikeets are cavity nesters.,maj
Birds have brown eyes.,birds have brown eyes.,maj
Penguins live in groups.,penguins live in groups.,maj
Owls use energy.,owls use energy.,maj
Vultures feed on dead animals.,vultures feed on dead animals.,maj
Birds have bright orange feathers.,birds have bright orange feathers.,maj
Macaws have eyesights.,macaws have eyesights.,maj
Cassowaries feed on fleshy fruit.,cassowaries feed on fleshy fruit.,maj
Parrots are forest birds living in small groups or as individual pairs or families.,parrots are forest birds living in small groups or as individual pairs or families.,maj
Common blackbirds feed on fruit.,common blackbirds feed on fruit.,maj
Robins eat spiders.,robins eat spiders.,maj
Hummingbirds have hearts.,hummingbirds have hearts.,maj
Birds have inner chambers.,birds have inner chambers.,maj
Owls grow feathers.,owls grow feathers.,maj
Shorebirds live on beaches.,shorebirds live on beaches.,maj
Kingfishers eat prey.,kingfishers eat prey.,maj
Birds feed on diets.,birds feed on diets.,maj
Birds have keen eyesight and are considered day birds.,"birds have keen eyesight and are considered day birds, as they are active during the daytime.",maj
Birds have sweat glands.,birds have sweat glands.,maj
Birds have large prey.,birds have large prey.,maj
Penguins have tongues.,penguins have tongues.,maj
Plump birds have heads.,plump birds have heads.,maj
Large birds take food.,large birds take food.,maj
Birds has-part tails.,birds has-part tails.,maj
Macaroni penguins feed on small fish.,macaroni penguins feed on small fish.,maj
Ducks swim in rivers.,ducks swim in rivers.,maj
American birds feed on fly insects.,american birds feed on fly insects.,maj
Owls have yellow eyes.,owls have yellow eyes.,maj
Birds enrich the land by their presence.,birds enrich the land by their presence.,maj
Hawksbills have claws.,hawksbills have claws.,maj
Pigeons carry bacteria.,pigeons carry bacteria.,maj
Penguins gather in colonies of hundreds.,"penguins gather in colonies of hundreds, even millions, to nest and molt .",maj
Owls has-part wings.,owls has-part wings.,maj
Owls have excellent eyesights.,owls have excellent eyesights.,maj
American birds feed on insects.,american birds feed on insects.,maj
Birds eat bugs.,birds eat bugs.,maj
Ducks feed on plants.,ducks feed on plants.,maj
Penguins spread wings.,penguins spread wings.,maj
Hammerheads feed on southern stingrays.,hammerheads feed on southern stingrays.,maj
Mallard ducks have light color.,mallard ducks have light color.,maj
Birds have a relatively poor sense of smell.,"birds have a relatively poor sense of smell, about the same as humans.",maj
Kestrels feed on diets.,kestrels feed on diets.,maj
Birds release eggs.,birds release eggs.,maj
Birds rely on vision.,birds rely on vision.,maj
Pelicans live in estuaries.,pelicans live in estuaries.,maj
Owls rotate heads.,owls rotate heads.,maj
Birds spend much of their time in the air.,birds spend much of their time in the air.,maj
Owls return to woodlands.,owls return to woodlands.,maj
Pelicans possess pouches.,pelicans possess pouches.,maj
Immature birds have coloration.,immature birds have coloration.,maj
Owls has-part claws.,owls has-part claws.,maj
Birds have hollow bones for low weight.,birds have hollow bones for low weight.,maj
Wild birds eat seeds.,wild birds eat seeds.,maj
Small birds live in regions.,small birds live in regions.,maj
Birds have toothless beaks.,birds have toothless beaks.,maj
Rainbow lorikeets feed on pollen.,rainbow lorikeets feed on pollen.,maj
Owls require prey.,owls require prey.,maj
Seabirds are specialists that feed on particular types of fish and other prey.,seabirds are specialists that feed on particular types of fish and other prey.,maj
Penguins thrive in oceans.,penguins thrive in oceans.,maj
Birds seek eggs.,birds seek eggs.,maj
Wood pigeons have diets.,wood pigeons have diets.,maj
Owls has-part tails.,owls has-part tails.,maj
Cardinals eat bugs.,cardinals eat bugs.,maj
Owls has-part necks.,owls has-part necks.,maj
Burrowing owls tend to hunt during the day and the owl's call sounds similar to a dove.,burrowing owls tend to hunt during the day and the owl's call sounds similar to a dove.,maj
Eagles depend on mammals.,eagles depend on mammals.,maj
Birds sit on branches.,birds sit on branches.,maj
White warblers have habits.,white warblers have habits.,maj
Penguins are evolved from ancestors.,penguins are evolved from ancestors.,maj
Birds roost in trees.,birds roost in trees.,maj
Philippine eagles attack domestic animals.,philippine eagles attack domestic animals.,maj
Ospreys have wings.,ospreys have wings.,maj
Ducks float in water.,ducks float in water.,maj
Toucans have toes.,toucans have toes.,maj
Bald eagles have good eyesights.,bald eagles have good eyesights.,maj
Birds give birth to chicks.,birds give birth to chicks.,maj
Robins eat worms.,robins eat worms.,maj
Dodo birds eat leaves.,dodo birds eat leaves.,maj
Birds have mouths.,birds have mouths.,maj
Bald eagles have brown feathers.,bald eagles have brown feathers.,maj
Owls require nests.,owls require nests.,maj
Turkey vultures have wings.,turkey vultures have wings.,maj
Owls have such big eyes.,owls have such big eyes.,maj
Birds feed in habitats.,birds feed in habitats.,maj
Mallards possess feathers.,mallards possess feathers.,maj
Macaws have eyes.,macaws have eyes.,maj
Eagles attack large animals.,eagles attack large animals.,maj
Ducks have reproductive organs.,ducks have reproductive organs.,maj
Birds live in habitats.,birds live in habitats.,maj
Parrots sit in branches.,parrots sit in branches.,maj
Blue herons nest in colonies.,blue herons nest in colonies.,maj
Owls sit in wood.,owls sit in wood.,maj
Owls prey on snakes.,owls prey on snakes.,maj
Birds have phenotypes.,birds have phenotypes.,maj
Penguins appear in islands.,penguins appear in islands.,maj
Sparrows eat grasshoppers.,sparrows eat grasshoppers.,maj
Birds have hues.,birds have hues.,maj
Falcons have bones.,falcons have bones.,maj
Vultures have predators.,vultures have predators.,maj
Penguins have bills.,penguins have bills.,maj
Dwarf cassowaries feed on fleshy fruit.,dwarf cassowaries feed on fleshy fruit.,maj
Birds have brownish eyes.,birds have brownish eyes.,maj
Immature birds have different coloration.,immature birds have different coloration.,maj
Woodpeckers have feathers.,woodpeckers have feathers.,maj
Birds have large hook beaks.,birds have large hook beaks.,maj
Birds use beaks.,birds use beaks.,maj
Parrots love to bathe.,"parrots love to bathe, which softens dirt on the feathers and skin and encourages preening.",maj
Dodo birds have natural predators.,dodo birds have natural predators.,maj
Magpies live in habitats.,magpies live in habitats.,maj
Birds only have one functional ovary.,birds only have one functional ovary.,maj
Mute swans breed at age three and remain with the same mate for life.,mute swans breed at age three and remain with the same mate for life.,maj
Birds can fly.,birds can fly.,maj
Birds give birth to offspring.,birds give birth to offspring.,maj
Eagles live for years.,eagles live for years.,maj
Albatrosses drink seawater.,albatrosses drink seawater.,maj
Penguins enter sea.,penguins enter sea.,maj
Eastern bluebirds eat food.,eastern bluebirds eat food.,maj
Pet parrots eat food.,pet parrots eat food.,maj
Birds have bones that are structurally very light.,birds have bones that are structurally very light.,maj
Golden eagles kill large prey.,golden eagles kill large prey.,maj
Immature birds have plumages.,immature birds have plumages.,maj
Birds have muscular tongues.,birds have muscular tongues.,maj
Birds have joints.,birds have joints.,maj
Ostriches have sweat glands.,ostriches have sweat glands.,maj
Hawks kill chickens.,hawks kill chickens.,maj
Hummingbirds die in the first year of life.,hummingbirds die in the first year of life.,maj
Birds spread wings.,birds spread wings.,maj
Birds belong to families.,birds belong to families.,maj
Horn owls kill hares.,horn owls kill hares.,maj
Owls spread wings.,owls spread wings.,maj
Pigeons eat seeds.,pigeons eat seeds.,maj
Birds have structures.,birds have structures.,maj
Birds have white plumages.,birds have white plumages.,maj
Birds sit in grass.,birds sit in grass.,maj
Parrots possess feathers.,parrots possess feathers.,maj
Birds descend from ancestors.,birds descend from ancestors.,maj
Penguins have a white breast and a black back and head.,penguins have a white breast and a black back and head.,maj
Large birds have white plumages.,large birds have white plumages.,maj
Birds arrange the bases of feathers in tracts with spaces in between.,birds arrange the bases of feathers in tracts with spaces in between.,maj
Woodpeckers live in areas.,woodpeckers live in areas.,maj
Birds have round tails.,birds have round tails.,maj
Birds have metabolism.,birds have metabolism.,maj
Birds eat a variety of things including fruits.,"birds eat a variety of things including fruits, vegetables, pasta, breads.",maj
Penguins go to sea.,penguins go to sea.,maj
Perch birds have tendons.,perch birds have tendons.,maj
Birds move feet.,birds move feet.,maj
Large parrots live for years.,large parrots live for years.,maj
Songbirds eat wild seeds from grasses.,"songbirds eat wild seeds from grasses, flowers and trees.",maj
